Species,Formatted_species,Territorial,Oviposition type (endophytic vs exophytic),Flier vs percher,Mate guarding,Abundance,Oviposition,Temporary vs permanent oviposition site,"Description of lentic oviposition (lake, pond, ditch, pool, puddle)",Lentic size,"Description of lotic oviposition (river, stream)",Lotic vs lentic (breeding habitat),Courtship,Redlist category,Strength of territoriality (strong vs weak),Reference,Original source,Original source #2,Original source #3,Original source #4
Nannophya pygmaea,Nannophya_pygmaea,,,,,,,,,,,,,Least Concern,,,,,,
Hemicordulia haluco,Hemicordulia_haluco,,,,,,,,,,,,,Least Concern,,,,,,
Pseudagrion microcephalum,Pseudagrion_microcephalum,,,,,,,,,,,,,Least Concern,,,,,,
Melanesobasis simmondsi,Melanesobasis_simmondsi,,,,,,,,,,,,,Data Deficient,,,,,,
Teinobasis nigrolutea,Teinobasis_nigrolutea,,,,,,,,,,,,,Endangered,,,,,,
Nesobasis flavifrons,Nesobasis_flavifrons,,,,,,,,,,,,,Least Concern,,,,,,
Nesobasis heteroneura,Nesobasis_heteroneura,,,,,,,,,,,,,Least Concern,,,,,,
Teinobasis chionopleura,Teinobasis_chionopleura,,,,,,,,,,,,,Data Deficient,,,,,,
Gynacantha rosenbergi,Gynacantha_rosenbergi,,,,,,,,,,,,,Least Concern,,,,,,
Ischnura sanguinostigma,Ischnura_sanguinostigma,,,,,,,,,,,,,Data Deficient,,,,,,
Nesobasis flavostigma,Nesobasis_flavostigma,,,,,,,,,,,,,Data Deficient,,,,,,
Teinobasis fatakula,Teinobasis_fatakula,,,,,,,,,,,,,Critically Endangered,,,,,,
Ischnura rurutana,Ischnura_rurutana,,,,,,,,,,,,,Critically Endangered,,,,,,
Nesobasis telegastrum,Nesobasis_telegastrum,,,,,,,,,,,,,Least Concern,,,,,,
Nesobasis ingens,Nesobasis_ingens,,,,,,,,,,,,,Vulnerable,,,,,,
Anaciaeschna jaspidea,Anaciaeschna_jaspidea,,,,,,,,,,,,,Least Concern,,,,,,
Cnemisticta latilobata,Cnemisticta_latilobata,,,,,,,,,,,,,Data Deficient,,,,,,
Lieftinckia lairdi,Lieftinckia_lairdi,,,,,,,,,,,,,Endangered,,,,,,
Eoargiolestes ochraceus,Eoargiolestes_ochraceus,,,,,,,,,,,,,Least Concern,,,,,,
Nesobasis recava,Nesobasis_recava,,,,,,,,,,,,,Vulnerable,,,,,,
Melanesobasis corniculata,Melanesobasis_corniculata,,,,,,,,,,,,,Least Concern,,,,,,
Anax piraticus,Anax_piraticus,,,,,,,,,,,,,Data Deficient,,,,,,
Hemicordulia australiae,Hemicordulia_australiae,,,,,,,,,,,,,Least Concern,,,,,,
Ischnura heterosticta,Ischnura_heterosticta,,,,,,,,,,,,,Least Concern,,,,,,
Nesobasis pedata,Nesobasis_pedata,,,,,,,,,,,,,Data Deficient,,,,,,
Agrionoptera sanguinolenta,Agrionoptera_sanguinolenta,,,,,,,,,,,,,Least Concern,,,,,,
Orthetrum sabina,Orthetrum_sabina,,,,,,,,,,,,,Least Concern,,,,,,
Rhinocypha tincta,Rhinocypha_tincta,,,,,,,,,,,,,Least Concern,,,,,,
Melanesobasis bicellulare,Melanesobasis_bicellulare,,,,,,,,,,,,,Data Deficient,,,,,,
Anax gibbosulus,Anax_gibbosulus,,,,,,,,,,,,,Least Concern,,,,,,
Ceriagrion aeruginosum,Ceriagrion_aeruginosum,,,,,,,,,,,,,Least Concern,,,,,,
Vanuatubasis santoensis,Vanuatubasis_santoensis,,,,,,,,,,,,,Data Deficient,,,,,,
Teinobasis imitans,Teinobasis_imitans,,,,,,,,,,,,,Data Deficient,,,,,,
Ischnura jeanyvesmeyeri,Ischnura_jeanyvesmeyeri,,,,,,,,,,,,,Critically Endangered,,,,,,
Nesobasis longistyla,Nesobasis_longistyla,,,,,,,,,,,,,Least Concern,,,,,,
Camacinia othello,Camacinia_othello,,,,,,,,,,,,,Least Concern,,,,,,
Lieftinckia ramosa,Lieftinckia_ramosa,,,,,,,,,,,,,Data Deficient,,,,,,
Hivaagrion demorsum,Hivaagrion_demorsum,,,,,,,,,,,,,Data Deficient,,,,,,
Lieftinckia malaitae,Lieftinckia_malaitae,,,,,,,,,,,,,Data Deficient,,,,,,
Ischnura luta,Ischnura_luta,,,,,,,,,,,,,Data Deficient,,,,,,
Agrionoptera cardinalis,Agrionoptera_cardinalis,,,,,,,,,,,,,Near Threatened,,,,,,
Nesobasis leveri,Nesobasis_leveri,,,,,,,,,,,,,Least Concern,,,,,,
Pseudagrion pacificum,Pseudagrion_pacificum,,,,,,,,,,,,,Data Deficient,,,,,,
Brachydiplax duivenbodei,Brachydiplax_duivenbodei,,,,,,,,,,,,,Least Concern,,,,,,
Nesobasis selysi,Nesobasis_selysi,,,,,,,,,,,,,Least Concern,,,,,,
Agrionoptera similis,Agrionoptera_similis,,,,,,,,,,,,,Least Concern,,,,,,
Wahnesia gizo,Wahnesia_gizo,,,,,,,,,,,,,Least Concern,,,,,,
Lieftinckia isabellae,Lieftinckia_isabellae,,,,,,,,,,,,,Data Deficient,,,,,,
Antipodochlora braueri,Antipodochlora_braueri,,,,,,,,,,,,,Least Concern,,,,,,
Rhinocypha liberata,Rhinocypha_liberata,,,,,,,,,,,,,Least Concern,,,,,,
Hemicordulia hilaris,Hemicordulia_hilaris,,,,,,,,,,,,,Least Concern,,,,,,
Brachydiplax denticauda,Brachydiplax_denticauda,,,,,,,,,,,,,Least Concern,,,,,,
Tapeinothemis boharti,Tapeinothemis_boharti,,,,,,,,,,,,,Near Threatened,,,,,,
Pseudagrion palauense,Pseudagrion_palauense,,,,,,,,,,,,,Endangered,,,,,,
Teinobasis simulans,Teinobasis_simulans,,,,,,,,,,,,,Data Deficient,,,,,,
Nesobasis malcolmi,Nesobasis_malcolmi,,,,,,,,,,,,,Vulnerable,,,,,,
Caledargiolestes uniseries,Caledargiolestes_uniseries,,,,,,,,,,,,,Near Threatened,,,,,,
Hemicordulia pacifica,Hemicordulia_pacifica,,,,,,,,,,,,,Least Concern,,,,,,
Agyrtacantha browni,Agyrtacantha_browni,,,,,,,,,,,,,Data Deficient,,,,,,
Macrodiplax cora,Macrodiplax_cora,,,,,,,,,,,,,Least Concern,,,,,,
Procordulia irregularis,Procordulia_irregularis,,,,,,,,,,,,,Near Threatened,,,,,,
Hemicordulia mumfordi,Hemicordulia_mumfordi,,,,,,,,,,,,,Data Deficient,,,,,,
Lestes concinnus,Lestes_concinnus,,,,,,,,,,,,,Least Concern,,,,,,
Gynacantha stevensoni,Gynacantha_stevensoni,,,,,,,,,,,,,Data Deficient,,,,,,
Hypothemis hageni,Hypothemis_hageni,,,,,,,,,,,,,Least Concern,,,,,,
Isosticta spinipes,Isosticta_spinipes,,,,,,,,,,,,,Near Threatened,,,,,,
Drepanosticta palauensis,Drepanosticta_palauensis,,,,,,,,,,,,,Data Deficient,,,,,,
Hemicordulia lulico,Hemicordulia_lulico,,,,,,,,,,,,,Least Concern,,,,,,
Synthemis miranda,Synthemis_miranda,,,,,,,,,,,,,Least Concern,,,,,,
Teinobasis ariel,Teinobasis_ariel,,,,,,,,,,,,,Vulnerable,,,,,,
Teinobasis aerides,Teinobasis_aerides,,,,,,,,,,,,,Critically Endangered,,,,,,
Teinobasis aluensis,Teinobasis_aluensis,,,,,,,,,,,,,Data Deficient,,,,,,
Nesobasis rufostigma,Nesobasis_rufostigma,,,,,,,,,,,,,Least Concern,,,,,,
Hivaagrion halecarpenteri,Hivaagrion_halecarpenteri,,,,,,,,,,,,,Data Deficient,,,,,,
Trineuragrion percostale,Trineuragrion_percostale,,,,,,,,,,,,,Least Concern,,,,,,
Indolestes vitiensis,Indolestes_vitiensis,,,,,,,,,,,,,Least Concern,,,,,,
Metaphya elongata,Metaphya_elongata,,,,,,,,,,,,,Near Threatened,,,,,,
Isosticta robustior,Isosticta_robustior,,,,,,,,,,,,,Least Concern,,,,,,
Synthemis campioni,Synthemis_campioni,,,,,,,,,,,,,Near Threatened,,,,,,
Caledargiolestes janiceae,Caledargiolestes_janiceae,,,,,,,,,,,,,Data Deficient,,,,,,
Procordulia smithii,Procordulia_smithii,,,,,,,,,,,,,Least Concern,,,,,,
Ischnura pamelae,Ischnura_pamelae,,,,,,,,,,,,,Vulnerable,,,,,,
Caledopteryx sarasini,Caledopteryx_sarasini,,,,,,,,,,,,,Near Threatened,,,,,,
Caledopteryx maculata,Caledopteryx_maculata,,,,,,,,,,,,,Near Threatened,,,,,,
Hemicordulia fidelis,Hemicordulia_fidelis,,,,,,,,,,,,,Least Concern,,,,,,
Oreaeschna dominatrix,Oreaeschna_dominatrix,,,,,,,,,,,,,Least Concern,,,,,,
Ischnura albistigma,Ischnura_albistigma,,,,,,,,,,,,,Data Deficient,,,,,,
Gynacantha apiaensis,Gynacantha_apiaensis,,,,,,,,,,,,,Data Deficient,,,,,,
Ischnura buxtoni,Ischnura_buxtoni,,,,,,,,,,,,,Data Deficient,,,,,,
Nesobasis brachycerca,Nesobasis_brachycerca,,,,,,,,,,,,,Least Concern,,,,,,
Xiphiagrion cyanomelas,Xiphiagrion_cyanomelas,,,,,,,,,,,,,Least Concern,,,,,,
Hemicordulia oceanica,Hemicordulia_oceanica,,,,,,,,,,,,,Data Deficient,,,,,,
Pacificagrion dolorosa,Pacificagrion_dolorosa,,,,,,,,,,,,,Data Deficient,,,,,,
Xanthagrion erythroneurum,Xanthagrion_erythroneurum,,,,,,,,,,,,,Least Concern,,,,,,
Pseudagrion samoense,Pseudagrion_samoense,,,,,,,,,,,,,Vulnerable,,,,,,
Melanesobasis maculosa,Melanesobasis_maculosa,,,,,,,,,,,,,Near Threatened,,,,,,
Tramea limbata,Tramea_limbata,,,,,,,,,,,,,Least Concern,,,,,,
Isosticta tillyardi,Isosticta_tillyardi,,,,,,,,,,,,,Least Concern,,,,,,
Agriocnemis exsudans,Agriocnemis_exsudans,,,,,,,,,,,,,Least Concern,,,,,,
Teinobasis budeni,Teinobasis_budeni,,,,,,,,,,,,,Vulnerable,,,,,,
Hemicordulia assimilis,Hemicordulia_assimilis,,,,,,,,,,,,,Data Deficient,,,,,,
Teinobasis fortis,Teinobasis_fortis,,,,,,,,,,,,,Vulnerable,,,,,,
Crocothemis nigrifrons,Crocothemis_nigrifrons,,,,,,,,,,,,,Least Concern,,,,,,
Hemicordulia mindana,Hemicordulia_mindana,,,,,,,,,,,,,Least Concern,,,,,,
Tholymis tillarga,Tholymis_tillarga,,,,,,,,,,,,,Least Concern,,,,,,
Teinobasis carolinensis,Teinobasis_carolinensis,,,,,,,,,,,,,Near Threatened,,,,,,
Diplacodes haematodes,Diplacodes_haematodes,,,,,,,,,,,,,Least Concern,,,,,,
Ischnura haemastigma,Ischnura_haemastigma,,,,,,,,,,,,,Data Deficient,,,,,,
Nesobasis aurantiaca,Nesobasis_aurantiaca,,,,,,,,,,,,,Data Deficient,,,,,,
Nesobasis angulicollis,Nesobasis_angulicollis,,,,,,,,,,,,,Least Concern,,,,,,
Vanuatubasis malekulana,Vanuatubasis_malekulana,,,,,,,,,,,,,Data Deficient,,,,,,
Solomonargiolestes malaita,Solomonargiolestes_malaita,,,,,,,,,,,,,Data Deficient,,,,,,
Neurothemis fluctuans,Neurothemis_fluctuans,,,,,,,,,,,,,Least Concern,,,,,,
Neurothemis terminata,Neurothemis_terminata,,,,,,,,,,,,,Least Concern,,,,,,
Orthetrum caledonicum,Orthetrum_caledonicum,,,,,,,,,,,,,Least Concern,,,,,,
Orthetrum villosovittatum,Orthetrum_villosovittatum,,,,,,,,,,,,,Least Concern,,,,,,
Pacificothemis esakii,Pacificothemis_esakii,,,,,,,,,,,,,Data Deficient,,,,,,
Rhyothemis graphiptera,Rhyothemis_graphiptera,,,,,,,,,,,,,Least Concern,,,,,,
Rhyothemis phyllis,Rhyothemis_phyllis,,,,,,,,,,,,,Least Concern,,,,,,
Rhyothemis regia,Rhyothemis_regia,,,,,,,,,,,,,Least Concern,,,,,,
Rhyothemis variegata,Rhyothemis_variegata,,,,,,,,,,,,,Least Concern,,,,,,
Tramea eurybia,Tramea_eurybia,,,,,,,,,,,,,Least Concern,,,,,,
Tramea liberata,Tramea_liberata,,,,,,,,,,,,,Data Deficient,,,,,,
Eusynthemis frontalis,Eusynthemis_frontalis,,,,,,,,,,,,,Data Deficient,,,,,,
Synthemis fenella,Synthemis_fenella,,,,,,,,,,,,,Least Concern,,,,,,
Synthemis montaguei,Synthemis_montaguei,,,,,,,,,,,,,Least Concern,,,,,,
Synthemis pamelae,Synthemis_pamelae,,,,,,,,,,,,,Data Deficient,,,,,,
Synthemis serendipita,Synthemis_serendipita,,,,,,,,,,,,,Vulnerable,,,,,,
Paragomphus sinaiticus,Paragomphus_sinaiticus,,,,,,,,,,,,,Least Concern,,,,,,
Urothemis thomasi,Urothemis_thomasi,,,,,,,,,,,,,Endangered,,,,,,
Acisoma trifidum,Acisoma_trifidum,,,,,,,,,,,,,Least Concern,,,,,,
Aethiothemis solitaria,Aethiothemis_solitaria,,,,,,,,,,,,,Least Concern,,,,,,
Aethriamanta rezia,Aethriamanta_rezia,,,,,,,,,,,,,Least Concern,,,,,,
Atoconeura kenya,Atoconeura_kenya,,,,,,,,,,,,,Least Concern,,,,,,
Allocnemis pauli,Allocnemis_pauli,,,,,,,,,,,,,Least Concern,,,,,,
Crocothemis erythraea,Crocothemis_erythraea,,,,,,,,,,,,,Least Concern,,,,,,
Diplacodes lefebvrii,Diplacodes_lefebvrii,,,,,,,,,,,,,Least Concern,,,,,,
Hadrothemis camarensis,Hadrothemis_camarensis,,,,,,,,,,,,,Least Concern,,,,,,
Lestes pallidus,Lestes_pallidus,,,,,,,,,,,,,Least Concern,,,,,,
Aethiothemis coryndoni,Aethiothemis_coryndoni,,,,,,,,,,,,,Least Concern,,,,,,
Nesciothemis farinosa,Nesciothemis_farinosa,,,,,,,,,,,,,Least Concern,,,,,,
Orthetrum abbotti,Orthetrum_abbotti,,,,,,,,,,,,,Least Concern,,,,,,
Orthetrum caffrum,Orthetrum_caffrum,,,,,,,,,,,,,Least Concern,,,,,,
Orthetrum chrysostigma,Orthetrum_chrysostigma,,,,,,,,,,,,,Least Concern,,,,,,
Orthetrum julia,Orthetrum_julia,,,,,,,,,,,,,Least Concern,,,,,,
Orthetrum trinacria,Orthetrum_trinacria,,,,,,,,,,,,,Least Concern,,,,,,
Palpopleura deceptor,Palpopleura_deceptor,,,,,,,,,,,,,Least Concern,,,,,,
Paragomphus genei,Paragomphus_genei,,,,,,,,,,,,,Least Concern,,,,,,
Pseudagrion hamoni,Pseudagrion_hamoni,,,,,,,,,,,,,Least Concern,,,,,,
Pseudagrion kersteni,Pseudagrion_kersteni,,,,,,,,,,,,,Least Concern,,,,,,
Pseudagrion sublacteum,Pseudagrion_sublacteum,,,,,,,,,,,,,Least Concern,,,,,,
Pseudagrion torridum,Pseudagrion_torridum,,,,,,,,,,,,,Least Concern,,,,,,
Rhyothemis semihyalina,Rhyothemis_semihyalina,,,,,,,,,,,,,Least Concern,,,,,,
Tramea basilaris,Tramea_basilaris,,,,,,,,,,,,,Least Concern,,,,,,
Trithemis annulata,Trithemis_annulata,,,,,,,,,,,,,Least Concern,,,,,,
Trithemis arteriosa,Trithemis_arteriosa,,,,,,,,,,,,,Least Concern,,,,,,
Trithemis furva,Trithemis_furva,,,,,,,,,,,,,Least Concern,,,,,,
Trithemis kirbyi,Trithemis_kirbyi,,,,,,,,,,,,,Least Concern,,,,,,
Urothemis edwardsii,Urothemis_edwardsii,,,,,,,,,,,,,Least Concern,,,,,,
Zygonyx torridus,Zygonyx_torridus,,,,,,,,,,,,,Least Concern,,,,,,
Phyllomacromia unifasciata,Phyllomacromia_unifasciata,,,,,,,,,,,,,Least Concern,,,,,,
Elattoneura vrijdaghi,Elattoneura_vrijdaghi,,,,,,,,,,,,,Least Concern,,,,,,
Sympetrum striolatum,Sympetrum_striolatum,,,,,,,,,,,,,Least Concern,,,,,,
Erythromma lindenii,Erythromma_lindenii,,,,,,,,,,,,,Least Concern,,,,,,
Coenagrion puella,Coenagrion_puella,,,,,,,,,,,,,Least Concern,,,,,,
Ischnura graellsii,Ischnura_graellsii,,,,,,,,,,,,,Least Concern,,,,,,
Aeshna mixta,Aeshna_mixta,,,,,,,,,,,,,Least Concern,,,,,,
Aeshna cyanea,Aeshna_cyanea,,,,,,,,,,,,,Least Concern,,,,,,
Diplacodes luminans,Diplacodes_luminans,,,,,,,,,,,,,Least Concern,,,,,,
Brachythemis impartita,Brachythemis_impartita,,,,,,,,,,,,,Least Concern,,,,,,
Mastigogomphus pinheyi,Mastigogomphus_pinheyi,,,,,,,,,,,,,Data Deficient,,,,,,
Notogomphus flavifrons,Notogomphus_flavifrons,,,,,,,,,,,,,Data Deficient,,,,,,
Notogomphus maathaiae,Notogomphus_maathaiae,,,,,,,,,,,,,Endangered,,,,,,
Idomacromia jillianae,Idomacromia_jillianae,,,,,,,,,,,,,Data Deficient,,,,,,
Allocnemis superba,Allocnemis_superba,,,,,,,,,,,,,Least Concern,,,,,,
Onychogomphus nigrotibialis,Onychogomphus_nigrotibialis,,,,,,,,,,,,,Data Deficient,,,,,,
Aciagrion bapepe,Aciagrion_bapepe,,,,,,,,,,,,,Least Concern,,,,,,
Africallagma quingentum,Africallagma_quingentum,,,,,,,,,,,,,Vulnerable,,,,,,
Africocypha varicolor,Africocypha_varicolor,,,,,,,,,,,,,Endangered,,,,,,
Agriocnemis canuango,Agriocnemis_canuango,,,,,,,,,,,,,Data Deficient,,,,,,
Agriocnemis toto,Agriocnemis_toto,,,,,,,,,,,,,Data Deficient,,,,,,
Anax gladiator,Anax_gladiator,,,,,,,,,,,,,Least Concern,,,,,,
Ceriagrion banditum,Ceriagrion_banditum,,,,,,,,,,,,,Least Concern,,,,,,
Ceriagrion junceum,Ceriagrion_junceum,,,,,,,,,,,,,Least Concern,,,,,,
Chlorocypha granata,Chlorocypha_granata,,,,,,,,,,,,,Data Deficient,,,,,,
Chlorocypha maxima,Chlorocypha_maxima,,,,,,,,,,,,,Least Concern,,,,,,
Elattoneura lapidaria,Elattoneura_lapidaria,,,,,,,,,,,,,Critically Endangered,,,,,,
Elattoneura tarbotonorum,Elattoneura_tarbotonorum,,,,,,,,,,,,,Data Deficient,,,,,,
Eleuthemis eogaster,Eleuthemis_eogaster,,,,,,,,,,,,,Data Deficient,,,,,,
Eleuthemis libera,Eleuthemis_libera,,,,,,,,,,,,,Least Concern,,,,,,
Lestinogomphus venustus,Lestinogomphus_venustus,,,,,,,,,,,,,Least Concern,,,,,,
Lestinogomphus calcaratus,Lestinogomphus_calcaratus,,,,,,,,,,,,,Least Concern,,,,,,
Lestinogomphus nefrens,Lestinogomphus_nefrens,,,,,,,,,,,,,Least Concern,,,,,,
Malgassophlebia andzaba,Malgassophlebia_andzaba,,,,,,,,,,,,,Least Concern,,,,,,
Neodythemis katanga,Neodythemis_katanga,,,,,,,,,,,,,Least Concern,,,,,,
Notogomphus bosumbuli,Notogomphus_bosumbuli,,,,,,,,,,,,,Least Concern,,,,,,
Notogomphus cobyae,Notogomphus_cobyae,,,,,,,,,,,,,Data Deficient,,,,,,
Notogomphus gorilla,Notogomphus_gorilla,,,,,,,,,,,,,Least Concern,,,,,,
Notogomphus intermedius,Notogomphus_intermedius,,,,,,,,,,,,,Least Concern,,,,,,
Notogomphus kimpavita,Notogomphus_kimpavita,,,,,,,,,,,,,Least Concern,,,,,,
Orthetrum agaricum,Orthetrum_agaricum,,,,,,,,,,,,,Least Concern,,,,,,
Onychogomphus undecim,Onychogomphus_undecim,,,,,,,,,,,,,Least Concern,,,,,,
Orthetrum kafwi,Orthetrum_kafwi,,,,,,,,,,,,,Data Deficient,,,,,,
Orthetrum lusinga,Orthetrum_lusinga,,,,,,,,,,,,,Least Concern,,,,,,
Paragomphus cammaertsi,Paragomphus_cammaertsi,,,,,,,,,,,,,Least Concern,,,,,,
Paragomphus darwalli,Paragomphus_darwalli,,,,,,,,,,,,,Least Concern,,,,,,
Paragomphus clausnitzerorum,Paragomphus_clausnitzerorum,,,,,,,,,,,,,Least Concern,,,,,,
Paragomphus dispar,Paragomphus_dispar,,,,,,,,,,,,,Data Deficient,,,,,,
Pentaphlebia mangana,Pentaphlebia_mangana,,,,,,,,,,,,,Least Concern,,,,,,
Phyllogomphus bongorum,Phyllogomphus_bongorum,,,,,,,,,,,,,Data Deficient,,,,,,
Porpax mezierei,Porpax_mezierei,,,,,,,,,,,,,Least Concern,,,,,,
Pseudagrion pacale,Pseudagrion_pacale,,,,,,,,,,,,,Data Deficient,,,,,,
Pseudagrion munte,Pseudagrion_munte,,,,,,,,,,,,,Least Concern,,,,,,
Pseudagrion sarepi,Pseudagrion_sarepi,,,,,,,,,,,,,Least Concern,,,,,,
Pseudagrion aureolum,Pseudagrion_aureolum,,,,,,,,,,,,,Least Concern,,,,,,
Pseudagrion dactylidium,Pseudagrion_dactylidium,,,,,,,,,,,,,Least Concern,,,,,,
Pseudagrion tanganyicum,Pseudagrion_tanganyicum,,,,,,,,,,,,,Least Concern,,,,,,
Trithemis hinnula,Trithemis_hinnula,,,,,,,,,,,,,Data Deficient,,,,,,
Trithemis legrandi,Trithemis_legrandi,,,,,,,,,,,,,Least Concern,,,,,,
Zygonyx annika,Zygonyx_annika,,,,,,,,,,,,,Data Deficient,,,,,,
Zygonyx denticulatus,Zygonyx_denticulatus,,,,,,,,,,,,,Least Concern,,,,,,
Zygonyx dionyx,Zygonyx_dionyx,,,,,,,,,,,,,Data Deficient,,,,,,
Atoconeura eudoxia,Atoconeura_eudoxia,,,,,,,,,,,,,Least Concern,,,,,,
Allocnemis nigripes,Allocnemis_nigripes,,,,,,,,,,,,,Least Concern,,,,,,
Atoconeura pseudeudoxia,Atoconeura_pseudeudoxia,,,,,,,,,,,,,Least Concern,,,,,,
Brachythemis lacustris,Brachythemis_lacustris,,,,,,,,,,,,,Least Concern,,,,,,
Brachythemis leucosticta,Brachythemis_leucosticta,,,,,,,,,,,,,Least Concern,,,,,,
Bradinopyga cornuta,Bradinopyga_cornuta,,,,,,,,,,,,,Least Concern,,,,,,
Bradinopyga strachani,Bradinopyga_strachani,,,,,,,,,,,,,Least Concern,,,,,,
Chalcostephia flavifrons,Chalcostephia_flavifrons,,,,,,,,,,,,,Least Concern,,,,,,
Copera congolensis,Copera_congolensis,,,,,,,,,,,,,Least Concern,,,,,,
Copera nyansana,Copera_nyansana,,,,,,,,,,,,,Least Concern,,,,,,
Elattoneura glauca,Elattoneura_glauca,,,,,,,,,,,,,Least Concern,,,,,,
Copera sikassoensis,Copera_sikassoensis,,,,,,,,,,,,,Least Concern,,,,,,
Crenigomphus hartmanni,Crenigomphus_hartmanni,,,,,,,,,,,,,Least Concern,,,,,,
Crenigomphus renei,Crenigomphus_renei,,,,,,,,,,,,,Least Concern,,,,,,
Gomphidia quarrei,Gomphidia_quarrei,,,,,,,,,,,,,Least Concern,,,,,,
Crocothemis sanguinolenta,Crocothemis_sanguinolenta,,,,,,,,,,,,,Least Concern,,,,,,
Crocothemis divisa,Crocothemis_divisa,,,,,,,,,,,,,Least Concern,,,,,,
Diplacodes deminuta,Diplacodes_deminuta,,,,,,,,,,,,,Least Concern,,,,,,
Hadrothemis coacta,Hadrothemis_coacta,,,,,,,,,,,,,Least Concern,,,,,,
Hadrothemis defecta,Hadrothemis_defecta,,,,,,,,,,,,,Least Concern,,,,,,
Hadrothemis infesta,Hadrothemis_infesta,,,,,,,,,,,,,Least Concern,,,,,,
Hadrothemis versuta,Hadrothemis_versuta,,,,,,,,,,,,,Least Concern,,,,,,
Gynacantha vesiculata,Gynacantha_vesiculata,,,,,,,,,,,,,Least Concern,,,,,,
Proischnura subfurcata,Proischnura_subfurcata,,,,,,,,,,,,,Least Concern,,,,,,
Pseudagrion acaciae,Pseudagrion_acaciae,,,,,,,,,,,,,Least Concern,,,,,,
Pseudagrion bicoerulans,Pseudagrion_bicoerulans,,,,,,,,,,,,,Vulnerable,,,,,,
Pseudagrion gamblesi,Pseudagrion_gamblesi,,,,,,,,,,,,,Least Concern,,,,,,
Pseudagrion glaucescens,Pseudagrion_glaucescens,,,,,,,,,,,,,Least Concern,,,,,,
Pseudagrion glaucum,Pseudagrion_glaucum,,,,,,,,,,,,,Least Concern,,,,,,
Pseudagrion hageni,Pseudagrion_hageni,,,,,,,,,,,,,Least Concern,,,,,,
Pseudagrion kibalense,Pseudagrion_kibalense,,,,,,,,,,,,,Least Concern,,,,,,
Pseudagrion massaicum,Pseudagrion_massaicum,,,,,,,,,,,,,Least Concern,,,,,,
Pseudagrion melanicterum,Pseudagrion_melanicterum,,,,,,,,,,,,,Least Concern,,,,,,
Pseudagrion niloticum,Pseudagrion_niloticum,,,,,,,,,,,,,Least Concern,,,,,,
Pseudagrion nubicum,Pseudagrion_nubicum,,,,,,,,,,,,,Least Concern,,,,,,
Pseudagrion rufocinctum,Pseudagrion_rufocinctum,,,,,,,,,,,,,Least Concern,,,,,,
Pseudagrion salisburyense,Pseudagrion_salisburyense,,,,,,,,,,,,,Least Concern,,,,,,
Pseudagrion sjoestedti,Pseudagrion_sjoestedti,,,,,,,,,,,,,Least Concern,,,,,,
Pseudagrion spernatum,Pseudagrion_spernatum,,,,,,,,,,,,,Least Concern,,,,,,
Pseudagrion sudanicum,Pseudagrion_sudanicum,,,,,,,,,,,,,Least Concern,,,,,,
Gomphidia bredoi,Gomphidia_bredoi,,,,,,,,,,,,,Least Concern,,,,,,
Hemicordulia africana,Hemicordulia_africana,,,,,,,,,,,,,Least Concern,,,,,,
Ictinogomphus ferox,Ictinogomphus_ferox,,,,,,,,,,,,,Least Concern,,,,,,
Lestes dissimulans,Lestes_dissimulans,,,,,,,,,,,,,Least Concern,,,,,,
Lestes ictericus,Lestes_ictericus,,,,,,,,,,,,,Least Concern,,,,,,
Lestes ochraceus,Lestes_ochraceus,,,,,,,,,,,,,Least Concern,,,,,,
Lestes pinheyi,Lestes_pinheyi,,,,,,,,,,,,,Least Concern,,,,,,
Lestes plagiatus,Lestes_plagiatus,,,,,,,,,,,,,Least Concern,,,,,,
Lestes tridens,Lestes_tridens,,,,,,,,,,,,,Least Concern,,,,,,
Lestes uncifer,Lestes_uncifer,,,,,,,,,,,,,Least Concern,,,,,,
Lestes virgatus,Lestes_virgatus,,,,,,,,,,,,,Least Concern,,,,,,
Lestinogomphus angustus,Lestinogomphus_angustus,,,,,,,,,,,,,Least Concern,,,,,,
Microgomphus schoutedeni,Microgomphus_schoutedeni,,,,,,,,,,,,,Least Concern,,,,,,
Neurogomphus featheri,Neurogomphus_featheri,,,,,,,,,,,,,Least Concern,,,,,,
Notogomphus dorsalis,Notogomphus_dorsalis,,,,,,,,,,,,,Least Concern,,,,,,
Notogomphus lecythus,Notogomphus_lecythus,,,,,,,,,,,,,Least Concern,,,,,,
Notogomphus leroyi,Notogomphus_leroyi,,,,,,,,,,,,,Least Concern,,,,,,
Notogomphus lujai,Notogomphus_lujai,,,,,,,,,,,,,Least Concern,,,,,,
Onychogomphus styx,Onychogomphus_styx,,,,,,,,,,,,,Least Concern,,,,,,
Paragomphus alluaudi,Paragomphus_alluaudi,,,,,,,,,,,,,Least Concern,,,,,,
Paragomphus cognatus,Paragomphus_cognatus,,,,,,,,,,,,,Least Concern,,,,,,
Paragomphus elpidius,Paragomphus_elpidius,,,,,,,,,,,,,Least Concern,,,,,,
Paragomphus magnus,Paragomphus_magnus,,,,,,,,,,,,,Least Concern,,,,,,
Paragomphus sabicus,Paragomphus_sabicus,,,,,,,,,,,,,Least Concern,,,,,,
Paragomphus viridior,Paragomphus_viridior,,,,,,,,,,,,,Least Concern,,,,,,
Phyllogomphus selysi,Phylllogomphus_selysi,,,,,,,,,,,,,Least Concern,,,,,,
