Species,Species_with_underscore,Formatted_species,Suborder,Family,Territorial,Male territorial polymorphism,Aggressiveness,Lek,Male site fidelity (length of time) ,Territory size,Sex polymorphisms,Sex dimorphisms,Geo polymorphism,Mass of male,Mass of female,Male body length (mm),Max male body length,Female body length (mm),Max female body length,Length of male tibia (mm),Male forewing length,Male hindwing length (mm),Female forewing length (mm),Female hindwing length (mm),Species distribution,Migratory,JNCC Red List status,Conservation status IUCN,Extinction risk category,Oviposition type (endophytic vs exophytic),Oviposition substrate,Oviposition,Number of oviposition sites,Lotic vs lentic (breeding habitat),Habitat breadth,Flier vs percher,Mate guarding,Agonistic display,Courtship,Aquatic habitat,Ecozone,Climate,Habitat openness,Body pattern,Body colourtype,Body colour,Territorial wing pigmentation,Non-territorial wing pigmentation,Wing pigmentation,Wing pigment pattern,Wing pigment extent discrete,Wing pigment extent continuous,Wing pigment symmetry,Wing pigment dimorphism,Wing pigment colour,Wing pigment placement,Wing pigment colour type,Female has wing pigment,Female wing pigment extent discrete,Female wing pigment extent continuous,Female wing pigment placement,Flight period - start,Flight period - end,Flight period duration (months),Reference,Original source,Original source #2,Original source #3,Original source #4,Original source - body size,Original source - flight period,Original source - distribution status,Original source - migratory,Original source - distribution status,Original source - red list,Original source - oviposition,Original source - breeding habitat,Original source - breeding habitat
Ladona depressa,Ladona_depressa,Ladona_depressa,,,Yes,,,,,,,,,,,45.89,,44.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Ladona exusta,Ladona_exusta,Ladona_exusta,,,Yes,,,,,,,,,,,33.55,,33.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Dunkle, 1989)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Ladona fulva,Ladona_fulva,Ladona_fulva,,,Yes,,,,,,,,,,,43.2,,40.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Brooks & Lewington, 2004)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Ladona julia,Ladona_julia,Ladona_julia,,,Yes,,,,,,,,,,,40.04,,39.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Lestes disjunctus,Lestes_disjunctus,Lestes_disjunctus,,,No,,,,,,,,,,,35.63,,38.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Sokolovska et al., 2000)",,,,,,,,,,,
Chalcolestes viridis,Chalcolestes viridis,Chalcolestes viridis,,,Yes,,,,,,,,,,,44.84,,41.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Azpilicueta-Amorín, M. unpubl. data","(Cordero-Rivera, 1988)",,,,,,,,,,,
Libellula comanche,Libellula_comanche,Libellula_comanche,,,Yes,,,,,,,,,,,49.07,,49.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,,,,,,,,,
Libellula composita,Libellula_composita,Libellula_composita,,,Yes,,,,,,,,,,,44.1,,40.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Libellula croceipennis,Libellula_croceipennis,Libellula_croceipennis,,,Yes,,,,,,,,,,,54.9,,48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Libellula cyanea,Libellula_cyanea,Libellula_cyanea,,,Yes,,,,,,,,,,,43,,41.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Dunkle, 2000)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Libellula flavida,Libellula_flavida,Libellula_flavida,,,Yes,,,,,,,,,,,44.78,,46.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Dunkle, 2000)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Libellula foliata,Libellula_foliata,Libellula_foliata,,,Yes,,,,,,,,,,,45.66,,45.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","E. González-Soriano, pers. obs.","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Libellula forensis,Libellula_forensis,Libellula_forensis,,,Yes,,,,,,,,,,,46.48,,42.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Manolis, 2003)",,,,,,,,,,,
Libellula herculea,Libellula_herculea,Libellula_herculea,,,Yes,,,,,,,,,,,51.1,,54.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","E. González-Soriano, pers. obs.",,,,,,,,,,,
Libellula incesta,Libellula_incesta,Libellula_incesta,,,Yes,,,,,,,,,,,50.88,,50.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Dunkle, 2000)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Libellula luctuosa,Libellula_luctuosa,Libellula_luctuosa,,,Yes,,,,,,,,,,,45.55,,46.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Sokolovska et al., 2000)",,,,,,,,,,,
Libellula needhami,Libellula_needhami,Libellula_needhami,,,Yes,,,,,,,,,,,53.94,,53.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Dunkle, 2000)","Natural History Museum, Odonata collection, UK",,,,,,,,,,
Libellula nodistica,Libellula_nodistica,Libellula_nodistica,,,Yes,,,,,,,,,,,47.4,,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Logan, 1967)",,,,,,,,,,,
Libellula pulchella,Libellula_pulchella,Libellula_pulchella,,,Yes,,,,,,,,,,,50.61,,49.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Libellula quadrimaculata,Libellula_quadrimaculata,Libellula_quadrimaculata,,,Yes,,,,,,,,,,,42.07,,42.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Azpilicueta-Amorín, M. unpubl. data","(Johansson et al., 2005)",,,,,,,,,,,
Libellula saturata,Libellula_saturata,Libellula_saturata,,,Yes,,,,,,,,,,,54.8,,51.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","E. González-Soriano, pers. obs.",,,,,,,,,,,
Lindenia tetraphylla,Lindenia_tetraphylla,Lindenia_tetraphylla,,,Yes,,,,,,,,,,,70,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Corbet, 1999)","(Ocharán, 1987)",,,,,,,,,,,
Macromia amphigena,Macromia_amphigena,Macromia_amphigena,,,Yes,,,,,,,,,,,73,,71.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Macromia splendens,Macromia_splendens,Macromia_splendens,,,Yes,,,,,,,,,,,64.98,,68.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Azpilicueta-Amorín, M. unpubl. data",,,,,,,,,,,,
Matrona basilaris,Matrona_basilaris,Matrona_basilaris,,,Yes,,,,,,,,,,,66.2,,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Siva‐Jothy et al., 1998)",,,,,,,,,,,
Matrona nigripectus,Matrona_nigripectus,Matrona_nigripectus,,,Yes,,,,,,,,,,,63.94,,62.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Hamalainen & Pinratana, 1999)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Megaloprepus caerulatus,Megaloprepus_caerulatus,Megaloprepus_caerulatus,,,Yes,,,,,,,,,,,120,,98.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Corbet, 1999)","Fincke, O.M, pers. comm.","Natural History Museum, Odonata collection, UK",,,,,,,,,,
Mnais pruinosa,Mnais_pruinosa,Mnais_pruinosa,,,Yes,,,,,,,,,,,56.51,,50.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Neurobasis chinensis,Neurobasis_chinensis,Neurobasis_chinensis,,,Yes,,,,,,,,,,,57,,56.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Kumar & Prasad, 1977)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Onychogomphus forcipatus,Onychogomphus_forcipatus,Onychogomphus_forcipatus,,,No,,,,,,,,,,,50.52,,44.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Ocharán, 1987)",,,,,,,,,,,,
Onychogomphus uncatus,Onychogomphus_uncatus,Onychogomphus_uncatus,,,No,,,,,,,,,,,51.87,,49.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Johansson et al., 2005)","(Ocharán, 1987)",,,,,,,,,,,
Ophiogomphus severus,Ophiogomphus_severus,Ophiogomphus_severus,,,Yes,,,,,,,,,,,48.44,,47.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Dunkle, 2000)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Orthemis ferruginea,Orthemis_ferruginea,Orthemis_ferruginea,,,Yes,,,,,,,,,,,50.6,,46.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Manolis, 2003)",,,,,,,,,,,
Orthetrum cancellatum,Orthetrum_cancellatum,Orthetrum_cancellatum,,,Yes,,,,,,,,,,,46.93,,46.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Azpilicueta-Amorín, M. unpubl. data","(Johansson et al., 2005)",,,,,,,,,,,
Oxygastra curtisii,Oxygastra_curtisii,Oxygastra_curtisii,,,Yes,,,,,,,,,,,42.57,,44.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Azpilicueta-Amorín, M. unpubl. data","(Brooks & Lewington, 2004)",,,,,,,,,,,
Pachydiplax longipennis,Pachydiplax_longipennis,Pachydiplax_longipennis,,,Yes,,,,,,,,,,,39.53,,35.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,,,,,,,,,
Perithemis tenera,Perithemis_tenera,Perithemis_tenera,,,Yes,,,,,,,,,,,22.7,,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Manolis, 2003)",,,,,,,,,,,
Phaon iridipennis,Phaon_iridipennis,Phaon_iridipennis,,,Yes,,,,,,,,,,,68.61,,64.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Phyllogomphoides albrighti,Phyllogomphoides_albrighti,Phyllogomphoides_albrighti,,,Yes,,,,,,,,,,,62.05,,61.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Dunkle, 2000)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Platycnemis pennipes,Platycnemis_pennipes,Platycnemis_pennipes,,,No,,,,,,,,,,,37.66,,35.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Brooks & Lewington, 2004)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Pseudostigma aberrans,Pseudostigma_aberrans,Pseudostigma_aberrans,,,No,,,,,,,,,,,139,,113.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Fincke, O.M, pers. comm.","Natural History Museum, Odonata collection, UK","R. Novelo-Gutiérrez, pers. comm.",,,,,,,,,,
Rhionaeschna californica,Rhionaeschna_californica,Rhionaeschna_californica,,,Yes,,,,,,,,,,,55.64,,51.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Manolis, 2003)",,,,,,,,,,,
Sapho bicolor,Sapho_bicolor,Sapho_bicolor,,,Yes,,,,,,,,,,,60.59,,56.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Silsby & Parr, 2001)",,,,,,,,,,,
Sapho ciliata,Sapho_ciliata,Sapho_ciliata,,,Yes,,,,,,,,,,,60.25,,56.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Silsby & Parr, 2001)",,,,,,,,,,,
Sapho gloriosa,Sapho_gloriosa,Sapho_gloriosa,,,Yes,,,,,,,,,,,69.41,,65.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Silsby & Parr, 2001)",,,,,,,,,,,
Somatochlora metallica,Somatochlora_metallica,Somatochlora_metallica,,,No,,,,,,,,,,,49.74,,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Brooks & Lewington, 2004)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Stylurus amnicola,Stylurus_amnicola,Stylurus_amnicola,,,No,,,,,,,,,,,47.8,,49.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Dunkle, 2000)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Sympetrum corruptum,Sympetrum_corruptum,Sympetrum_corruptum,,,Yes,,,,,,,,,,,40.07,,41.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Dunkle, 2000)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Sympetrum illotum,Sympetrum_illotum,Sympetrum_illotum,,,Yes,,,,,,,,,,,35.9,,36.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Sympetrum vulgatum,Sympetrum_vulgatum,Sympetrum_vulgatum,,,Yes,,,,,,,,,,,33.71,,32.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Brooks & Lewington, 2004)","(Corbet, 1999)","(Ocharán, 1987)","(Johansson et al., 2005)",,,,,,,,,
Telebasis salva ,Telebasis_salva_,Telebasis_salva,,,No,,,,,,,,,,,25.13,,25.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Tramea lacerata,Tramea_lacerata,Tramea_lacerata,,,No,,,,,,,,,,,49.03,,49.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Manolis, 2003)",,,,,,,,,,,
Tramea onusta,Tramea_onusta,Tramea_onusta,,,Yes,,,,,,,,,,,43.47,,45.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","(Dunkle, 2000)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,
Umma longistigma,Umma_longistigma,Umma_longistigma,,,Yes,,,,,,,,,,,56.66,,51.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Silsby & Parr, 2001)",,,,,,,,,,,
Umma saphirina,Umma_saphirina,Umma_saphirina,,,Yes,,,,,,,,,,,53.29,,51.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Silsby & Parr, 2001)",,,,,,,,,,,
Vestalis amoena,Vestalis_amoena,Vestalis_amoena,,,Yes,,,,,,,,,,,56.16,,48.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano-Meneses et. al., 2008","Natural History Museum, Odonata collection, UK","(Orr, 2003)",,,,,,,,,,,
Brachymesia furcata,Brachymesia_furcata,Brachymesia_furcata,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Brechmorhoga mendax,Brechmorhoga_mendax,Brechmorhoga_mendax,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Brechmorhoga pertinax,Brechmorhoga_pertinax,Brechmorhoga_pertinax,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Cannaphila insularis,Cannaphila_insularis,Cannaphila_insularis,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Cannaphila vibex,Cannaphila_vibex,Cannaphila_vibex,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Celithemis elisa,Celithemis_elisa,Celithemis_elisa,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Celithemis eponina,Celithemis_eponina,Celithemis_eponina,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Dasythemis esmeralda,Dasythemis_esmeralda,Dasythemis_esmeralda,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Dasythemis mincki,Dasythemis_mincki,Dasythemis_mincki,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Diastatops obscura,Diastatops_obscura,Diastatops_obscura,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Dythemis fugax,Dythemis_fugax,Dythemis_fugax,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Dythemis nigra,Dythemis_nigra,Dythemis_nigra,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Dythemis nigrescens,Dythemis_nigrescens,Dythemis_nigrescens,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Dythemis sterilis,Dythemis_sterilis,Dythemis_sterilis,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Dythemis velox,Dythemis_velox,Dythemis_velox,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Elasmothemis constricta,Elasmothemis_constricta,Elasmothemis_constricta,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Erythemis attala,Erythemis_attala,Erythemis_attala,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Erythemis collocata,Erythemis_collocata,Erythemis_collocata,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Erythemis haematogastra,Erythemis_haematogastra,Erythemis_haematogastra,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Erythemis peruviana,Erythemis_peruviana,Erythemis_peruviana,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Erythemis plebeja,Erythemis_plebeja,Erythemis_plebeja,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Erythemis simplicicollis,Erythemis_simplicicollis,Erythemis_simplicicollis,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Erythemis vesiculosa,Erythemis_vesiculosa,Erythemis_vesiculosa,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Erythrodiplax basalis,Erythrodiplax_basalis,Erythrodiplax_basalis,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Erythrodiplax berenice,Erythrodiplax_berenice,Erythrodiplax_berenice,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Erythrodiplax fervida,Erythrodiplax_fervida,Erythrodiplax_fervida,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Erythrodiplax funerea,Erythrodiplax_funerea,Erythrodiplax_funerea,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Erythrodiplax fusca,Erythrodiplax_fusca,Erythrodiplax_fusca,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Erythrodiplax minuscula,Erythrodiplax_minuscula,Erythrodiplax_minuscula,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Erythrodiplax nigricans,Erythrodiplax_nigricans,Erythrodiplax_nigricans,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Erythrodiplax umbrata,Erythrodiplax_umbrata,Erythrodiplax_umbrata,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
Erythrodiplax unimaculata,Erythrodiplax_unimaculata,Erythrodiplax_unimaculata,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santos and Machado, 2016",,,,,,,,,,,,,
